Participant_ID,Dates,Minutes_Asleep
p11,2020-10-22,515.6247388639152
p11,2020-10-23,535.358469587048
p11,2020-10-24,542.760925307635
p11,2020-10-25,522.0492819142952
p11,2020-10-26,503.5044938141612
p11,2020-10-27,552.883705601156
p11,2020-10-28,494.9201939506298
p11,2020-10-29,518.2374395047058
p11,2020-10-30,537.9711702277726
p11,2020-10-31,545.3736259483796
p11,2020-11-01,524.6619825549895
p11,2020-11-02,506.1171944549235
p11,2020-11-03,555.4964062419494
p11,2020-11-04,497.5328945913684
p11,2020-11-05,520.8501401455875
p11,2020-11-06,540.5838708687401
p11,2020-11-07,547.986326589362
p11,2020-11-08,527.2746831959012
p11,2020-11-09,508.7298950957204
p11,2020-11-10,558.1091068827618
p11,2020-11-11,500.1455952321498
p11,2020-11-12,523.4628407862868
p11,2020-11-13,543.1965715093288
p11,2020-11-14,550.5990272299789
p11,2020-11-15,529.8873838365956
p11,2020-11-16,511.34259573658534
p11,2020-11-17,560.7218075235552
p11,2020-11-18,502.75829587300984
p11,2020-11-19,526.0755414271684
p11,2020-11-20,545.8092721501748
p11,2020-11-21,553.2117278708513
p11,2020-11-22,532.5000844773986
p11,2020-11-23,513.955296377314
p11,2020-11-24,563.3345081643346
p11,2020-11-25,505.37099651383403
p11,2020-11-26,528.6882420680502
p11,2020-11-27,548.4219727910207
p11,2020-11-28,555.8244285115959
p11,2020-11-29,535.1127851182864
p11,2020-11-30,516.567997018179
p11,2020-12-01,565.9472088051422
p11,2020-12-02,507.9836971545725
p11,2020-12-03,531.3009427087495
p11,2020-12-04,551.0346734317311
p11,2020-12-05,558.4371291524683
p11,2020-12-06,537.7254857590895
p11,2020-12-07,519.1806976589411
p11,2020-12-08,568.5599094459214
p11,2020-12-09,510.5963977953539
p11,2020-12-10,533.9136433495344
p11,2020-12-11,553.6473740724555
p11,2020-12-12,561.0498297930853
p11,2020-12-13,540.3381863997837
p11,2020-12-14,521.7933982996699
p11,2020-12-15,571.1726100867338
p11,2020-12-16,513.2090984361353
p11,2020-12-17,536.5263439903248
p11,2020-12-18,556.260074713423
p11,2020-12-19,563.6625304339575
p11,2020-12-20,542.9508870406954
p11,2020-12-21,524.4060989405347
p11,2020-12-22,573.7853107275133
p11,2020-12-23,515.8217990769166
p11,2020-12-24,539.1390446312065
p11,2020-12-25,558.8727753541475
p11,2020-12-26,566.2752310748122
p11,2020-12-27,545.5635876813897
p11,2020-12-28,527.0187995813316
p11,2020-12-29,576.3980113683207
p11,2020-12-30,518.4344997176552
p11,2020-12-31,541.7517452718089
p11,2021-01-01,561.485475994872
p11,2021-01-02,568.8879317155569
p11,2021-01-03,548.1762883221927
p11,2021-01-04,529.6315002221286
p11,2021-01-05,579.0107120091002
p11,2021-01-06,521.0472003586009
p11,2021-01-07,544.3644459126907
p11,2021-01-08,564.098176635718
p11,2021-01-09,571.5006323563015
p11,2021-01-10,550.788988962972
p11,2021-01-11,532.2442008628226
p11,2021-01-12,581.6234126498796
p11,2021-01-13,523.6599009993394
p11,2021-01-14,546.9771465534812
p11,2021-01-15,566.7108772765639
p11,2021-01-16,574.1133329971739
p11,2021-01-17,553.4016896038836
p11,2021-01-18,534.8569015036876
p11,2021-01-19,584.2361132906871
p11,2021-01-20,526.2726016401208
